x,y,cell_id,postcode,county,town,suburb,road,box_1,box_2,box_3,box_4
-2.2621509,53.6029258,3.5943256708322104e+18,BL9 6UW,Greater Manchester,Bury,Unknown,Castle Hill Road,53.6006728,53.6205648,-2.27215,-2.2610303
-2.2546493,53.6119302,-8.981988864676445e+18,BL9 6TZ,Greater Manchester,Heywood,Unknown,Unknown,53.6083694,53.6116035,-2.2561713,-2.2530051
-2.250051,53.601154,-2.885099186772232e+18,BL9 7TS,Greater Manchester,Bury,Jericho,Summit Close,53.6014743,53.6019767,-2.2502183,-2.2489368
-2.1907371,53.5167731,6.691381389526996e+17,M40 9GJ,Greater Manchester,Unknown,Moston,Brookside Road,53.5162129,53.517476,-2.1915765,-2.1892403
-2.2027847,53.5131579,-5.13010783204113e+18,M9 4HH,Greater Manchester,Unknown,Harpurhey,Moston Lane,53.5129356,53.5137697,-2.2034191,-2.2017051
-2.0928977,53.6022784,-8.480673122080012e+18,OL16 3QZ,Greater Manchester,Rochdale,Haugh,Huddersfield Road,53.6017829,53.6019418,-2.0939938,-2.0937128
-2.2238157,53.49784,8.959896678768669e+18,M40 7RG,Greater Manchester,Unknown,Collyhurst,Eggington Street,53.4973186,53.4982476,-2.2244046,-2.2220563
-2.1366106,53.5680809,5.66039022369105e+18,OL2 5TH,Greater Manchester,Royton,Unknown,Mill Lane,53.5627664,53.5692911,-2.1364706,-2.1326551
-2.1759098,53.5779166,-6.030592878777807e+18,OL11 2SP,Greater Manchester,Rochdale,Trub,Rochdale Road,53.5722426,53.5903821,-2.1770971,-2.1745808
-2.1891048,53.4889116,-4.708178392714094e+18,M11 4FS,Greater Manchester,Unknown,Newton Heath,Unknown,53.4883434,53.4916159,-2.1901509,-2.1860754
-2.1835625,53.6012746,1.3186140432359616e+18,OL11 3JZ,Greater Manchester,Rochdale,Marland,Borrowdale Drive,53.5999087,53.6011924,-2.1838762,-2.1819258
-2.1563493,53.597718,-3.551832897437748e+18,OL11 2HY,Greater Manchester,Rochdale,Sudden,Unknown,53.5973318,53.5981212,-2.1573031,-2.1565806
-2.1773071,53.5509496,5.982359952915805e+18,M24 2DP,Greater Manchester,Rochdale,Chadderton Fold,Oldham Road,53.550749,53.550849,-2.178111,-2.178011
-2.172937,53.5896057,8.114815553054535e+18,OL11 2UH,Greater Manchester,Rochdale,Trub,Albion Street,53.5890052,53.5907971,-2.1766712,-2.1714715
-2.1639042,53.5977079,-8.367353320618055e+18,OL11 2NW,Greater Manchester,Rochdale,Sudden,Queens Drive,53.5969842,53.5985767,-2.1661176,-2.1614357
-2.1609609,53.6183849,6.817662244866391e+18,OL12 6UD,Greater Manchester,Rochdale,Shawclough,St. Mary's Gate,53.6170695,53.6186207,-2.1618752,-2.1605893
-2.1563393,53.5950216,-6.083338704644489e+18,OL11 2JD,Greater Manchester,Rochdale,Kirkholt,Kirkway,53.5941488,53.5956544,-2.1565261,-2.1538476
-2.1564857,53.6345696,-5.153065297730115e+18,OL12 0BD,Greater Manchester,Rochdale,Syke,Newlands Close,53.6337104,53.6344937,-2.1564949,-2.1564199
-2.1274698,53.541126,-5.148309187947728e+18,OL9 6TD,Greater Manchester,Chadderton,Werneth,Broome Street,53.5405008,53.5411857,-2.1274903,-2.1265049
-2.144289,53.6058226,-6.198249365407832e+18,OL16 5LF,Greater Manchester,Milnrow,Lower Place,Franklin Street,53.6055767,53.606261,-2.1444823,-2.1440927
-2.1397998,53.6193103,-4.306322883180309e+18,OL16 2YL,Greater Manchester,Milnrow,Newbold Brow,Lower Wheat End,53.6186468,53.6187975,-2.1390767,-2.1382904
-2.1367501,53.6112245,-3.586097177427221e+18,OL16 5HA,Greater Manchester,Milnrow,Newbold Brow,Wensley Way,53.6105848,53.612248,-2.13827,-2.136432
